average_offensiveness	created_on	hateful_meaning	is_about_class	is_about_disability	is_about_ethnicity	is_about_gender	is_about_nationality	is_about_religion	is_about_sexual_orientation	is_unambiguous	is_unambiguous_in	language	nonhateful_meaning	number_of_sightings	number_of_sightings_this_month	number_of_sightings_this_year	plural_of	term	transliteration_of	updated_on	variant_of	vocabulary_id
	2019-04-12 15:26:49	Referring to North American Aboriginals in particular, owing to the use of feather head dresses.	False	False	True	False	False	False	False	False		eng		0	0	0		featherhead		2019-04-12 15:26:49		G8LcbzVdo
	2019-04-12 15:22:58		False	False	True	False	False	False	False	False		eng		0	0	0	deminigger	deminiggers		2019-04-12 15:22:58		P6zCCm9iW
	2019-04-12 15:22:21		False	False	True	False	False	False	False	False		eng		0	0	0		deminigger		2019-04-12 15:22:21	seminiggers	xpzmtaysc
	2019-04-12 15:21:17		False	False	True	False	False	False	False	False		eng		0	0	0	seminigger	seminiggers		2019-04-12 15:21:17		TQzKRXetW
	2019-04-12 15:20:19		False	False	True	False	False	False	False	False		eng		0	0	0		seminigger		2019-04-12 15:20:19	sand nigger	mngQLBoHf
100.0	2019-04-12 15:19:09		False	False	True	False	True	False	False	False		eng		0	0	0	dagowop	dagowops		2019-04-12 15:19:09		hExD3rxQp
100.0	2019-04-12 15:18:23	"Combination of ""Dago"" and ""Wop"""	False	False	True	False	True	False	False	False		eng		0	0	0		dagowop		2019-04-12 15:18:23		oVFNgdGCE
44.0	2019-04-12 15:13:17		False	False	True	False	True	False	False	False		eng		0	0	0	canigglet	canniglets		2019-04-12 15:13:17		VZZmYnYuJ
44.0	2019-04-12 15:12:27		False	False	True	False	True	False	False	False		eng		0	0	0		canigglet		2019-04-12 15:12:27	canigger	p9fWmsroo
	2019-04-12 15:11:33		False	False	True	False	True	False	False	False		eng		0	0	0	canigger	caniggers		2019-04-12 15:11:33		nQDqrqYkr
	2019-04-12 15:10:48	"Combination of ""Canadian"" and ""Nigger"""	False	False	True	False	True	False	False	False		eng		0	0	0		canigger		2019-04-12 15:10:48		BDRxjhmjx
	2019-04-12 15:09:21		False	False	True	False	True	False	False	False		eng		0	0	0	cairo coon	cairo coons		2019-04-12 15:09:21		xoN9ZyHBQ
	2019-04-12 15:08:44		False	False	True	False	True	False	False	False		eng		0	0	0		cairo coon		2019-04-12 15:08:44	sand nigger	ypirmXBvE
	2019-04-12 15:06:50		False	False	True	False	False	False	False	False		eng		0	0	0	bushniglet	bushniglets		2019-04-12 15:06:50		kAQVNHGsZ
	2019-04-12 15:06:13		False	False	True	False	False	False	False	False		eng		0	0	0		bushniglet		2019-04-12 15:06:13	bushnigger	p4WtmrY9q
	2019-04-12 15:05:20		False	False	True	False	False	False	False	False		eng		0	0	0	bushnigger	bushniggers		2019-04-12 15:05:20		ukssEgvww
100.0	2019-04-12 15:04:07	Referring to North American Aboriginals specifically	False	False	True	False	False	False	False	False		eng		0	0	0		bushnigger		2019-04-12 15:04:07		Pxmt8yfmv
	2019-04-11 20:57:23		False	False	True	False	False	False	False	False		eng		0	0	0	bush bandit	bush bandits		2019-04-11 20:57:23		vmudnDokA
75.0	2019-04-11 20:56:41	Referring to North American aboriginals	False	False	True	False	False	False	False	False		eng		0	0	0		bush bandit		2019-04-11 20:56:41		Ln4hCRsTN
	2019-04-11 20:52:37		False	False	True	False	True	False	False	False		eng		0	0	0		border banditoes		2019-04-11 20:52:37	border banditos	dwDmDCXij
	2019-04-11 20:51:45		False	False	True	False	True	False	False	False		eng		0	0	0	border bandito	border banditos		2019-04-11 20:51:45		KyboRTCwd
	2019-04-11 20:50:52		False	False	True	False	True	False	False	False		eng		0	0	0		border bandito		2019-04-11 20:50:52	border bandits	NNZFXe7NA
	2019-04-11 20:49:58		False	False	True	False	True	False	False	False		eng		0	0	0	border bandit	border bandits		2019-04-11 20:49:58		ZfqCyhVKw
	2019-04-11 20:49:13		False	False	True	False	True	False	False	False		eng		0	0	0		border bandit		2019-04-11 20:49:13	border jumpers	hTJhDMqdr
	2019-04-11 20:47:28		False	False	True	False	False	False	False	False		eng		0	0	0	boogat	boogats		2019-04-11 20:47:28		JWwXZDXxJ
	2019-04-11 20:46:48	An equivalent to 'spook', relating to African-Americans.	False	False	True	False	False	False	False	False		eng		0	0	0		boogat		2019-04-11 20:46:48		j6b9deGQz
75.0	2019-04-11 20:42:16		False	False	True	False	False	False	False	False		eng		0	0	0	bean bandit	bean bandits		2019-04-11 20:42:16		kpYzwEddG
75.0	2019-04-11 20:41:41	Referring to Hispanic people	False	False	True	False	False	False	False	False		eng		0	0	0		bean bandit		2019-04-11 20:41:41		pdqCdUuiB
	2019-04-11 20:39:46		False	False	True	False	False	False	False	False		eng		0	0	0	dog eater	dog eaters		2019-04-11 20:39:46		qptiXqxr9
	2019-04-11 20:39:07	Conveys the idea that Asians consume dogs as part of their cuisine.	False	False	True	False	False	False	False	False		eng		0	0	0		dog eater		2019-04-11 20:39:07		VQD4HVJBA
	2019-04-11 20:35:25		False	False	True	False	True	False	False	False		eng		0	0	0	albo	alboes		2019-04-11 20:35:25	albos	ggKpaAkDW
	2019-04-11 20:34:28		False	False	True	False	True	False	False	False		eng		0	0	0	albo	albos		2019-04-11 20:34:28		e9rsjiXqN
	2019-04-11 20:33:45	An Albanian	False	False	True	False	True	False	False	False		eng		0	0	0		albo		2019-04-11 20:33:45		GUVgpiTXd
75.0	2019-04-11 20:32:31		True	False	True	False	False	False	False	False		eng		0	0	0	african't	african'ts		2019-04-11 20:32:31		hVan9PHKD
75.0	2019-04-11 20:31:46	A lazy or unemployed black person.	True	False	True	False	False	False	False	False		eng		0	0	0		african't		2019-04-11 20:31:46		gT9FTdniK
	2019-04-11 20:27:05		False	False	True	True	False	False	False	False		eng		0	0	0	whoriental	whorientals		2019-04-11 20:27:05		jTQCcisbD
	2019-04-11 20:25:57	An Asian woman (or less often a man) who is promiscuous.	False	False	True	True	False	False	False	False		eng		0	0	0		whoriental		2019-04-11 20:25:57		WRaKdghPn
50.0	2019-04-08 14:28:32		False	False	True	False	False	False	False	False		eng		0	0	0		jipsi		2019-04-08 14:28:32	gypsy	ZabTbpGLF
	2019-04-08 14:27:52		False	False	True	False	False	False	False	False		eng		0	0	0		gypsi		2019-04-08 14:27:52	gypsy	pAepZnvcQ
	2019-04-08 14:26:23		False	False	True	False	False	False	False	False		eng		0	0	0	gyppo	gyppoes		2019-04-08 14:26:23	gypos	FNJHyjEyU
	2019-04-08 14:25:36		False	False	True	False	False	False	False	False		eng		0	0	0	gypo	gypoes		2019-04-08 14:25:36	gypos	HBT8LPDiC
96.0	2019-04-08 14:23:51		False	False	True	False	False	False	False	False		eng		0	0	0	gooklet	gooklets		2019-04-08 14:23:51	gook	uDVwuXLbi
75.0	2019-04-08 14:23:09		False	False	True	False	False	False	False	False		eng		0	0	0		gooklet		2019-04-08 14:23:09	gook	MHqMsGDUB
	2019-04-08 14:22:02		False	False	True	True	False	False	False	False		eng		0	0	0	gookette	gookettes		2019-04-08 14:22:02	gook	hvHEkesvW
100.0	2019-04-08 14:20:58		False	False	True	False	False	False	False	False		eng		0	0	0		gookette		2019-04-08 14:20:58	gook	GTfRPDnWk
	2019-04-08 14:20:12		False	False	True	False	False	False	False	False		eng		0	0	0		gook eyed		2019-04-08 14:20:12	gook eyes	cNex4ZaCh
	2019-04-08 14:19:16		False	False	True	False	False	False	False	False		eng		0	0	0		gooky eyes		2019-04-08 14:19:16	gook eyes	soUDwjTpk
	2019-03-18 18:59:24		False	False	False	True	False	False	False	False		eng		0	0	0	Chad Thundercock	Chad Thundercocks		2019-03-18 18:59:42		eibckqkoC
	2019-03-18 18:58:22		False	False	False	True	False	False	False	False		eng		0	0	0	Chad	Chads		2019-03-18 18:58:48		XbKGPZoQk
	2019-03-18 18:56:41		False	False	False	True	False	False	False	False		eng		0	0	0		Chad Thundercock		2019-03-18 18:56:50	Chad	4kDJJnKrH
	2019-03-18 18:53:23	General pejorative term for an alpha male, subsequently appropriated by the incel movement	False	False	False	True	False	False	False	False		eng		0	0	0		Chad		2019-03-18 18:55:42		dZNH1NRv6
	2019-03-18 18:50:03	A vacuous woman	False	False	False	True	False	False	False	False		eng		83	11	83		bimbo		2019-03-18 18:50:11		us2wzoXkk
	2019-03-18 18:49:16	A vacuous man	False	False	False	True	False	False	False	False		eng		223	26	223		himbo		2019-03-18 18:49:23		jtbeyXztd
	2019-03-18 18:46:24	An excessively masculine person	False	False	False	True	False	False	False	False		eng		0	0	0		machosexual		2019-03-18 18:46:32		azHDvcnKn
	2019-03-18 18:36:02		True	False	False	False	False	False	False	False		eng		138	18	138	gopnik	gopniks		2019-03-18 18:36:09		fJs4txNxL
	2019-03-18 18:35:26		True	False	False	False	False	False	False	False		eng		0	0	0	skeet	skeets		2019-03-18 18:35:26		dyTjfgaDh
	2019-03-18 18:34:35	Lower class youth	True	False	False	False	False	False	False	False		eng		0	0	0		skeet		2019-03-18 18:34:35		gaJhnezMx
	2019-03-18 18:30:53		True	False	False	False	False	False	False	False		eng		11	2	11		dresiarz		2019-03-18 18:31:09	dres	shvUDDiey
	2019-03-18 18:30:13		True	False	False	False	False	False	False	False		eng		0	0	0		dres	drɛs	2019-03-18 18:30:26		EEZAjmc1q
	2019-03-18 18:10:25		True	False	False	False	False	False	False	False		eng		0	0	0		gopnik	го́пник	2019-03-18 18:10:25		GWjTXNZUM
	2019-03-18 18:08:15		True	False	False	False	False	False	False	False		eng		0	0	0		Freḥa	פרחה	2019-03-18 18:08:31		WFzUijXKQ
	2019-03-18 18:04:48		True	False	False	False	False	False	False	False		eng		9	1	9		arsit		2019-03-18 18:04:56	ars	UnqiwUWyv
	2019-03-18 18:03:47		True	False	False	False	False	False	False	False		eng		35	20	35	ars	arsim		2019-03-18 18:03:56		MmAo4cvLs
	2019-03-18 18:03:05		True	False	False	False	False	False	False	False		eng		0	0	0		ars	ערס‎ `ars	2019-03-18 18:03:05		kriMMKYyy
	2019-03-18 17:59:38		True	False	False	False	False	False	False	False		eng		25	4	25	Sloane Ranger	Sloane Rangers		2019-03-18 17:59:49		kRaUGPivZ
	2019-03-18 17:59:01	A fashionable upper class person	True	False	False	False	False	False	False	False		eng		94	7	94		Sloane Ranger		2019-03-18 17:59:11		Y3ulapDfm
	2019-03-18 17:57:20		True	False	False	False	False	False	False	False		eng		0	0	0	Hoorah Henrietta	Hoorah Henriettas		2019-03-18 17:57:28		JQERv8ibJ
	2019-03-18 17:56:41		True	False	False	False	False	False	False	False		eng		0	0	0		Hoorah Henrietta		2019-03-18 17:56:50	Hooray Henrietta	nKsuXihdr
	2019-03-18 17:55:47		True	False	False	False	False	False	False	False		eng		0	0	0	Hooray Henrietta	Hooray Henriettas		2019-03-18 17:55:55		VPtQJrsQp
	2019-03-18 17:55:08	A boorish upper class person	True	False	False	False	False	False	False	False		eng		10	0	10		Hooray Henrietta		2019-03-18 17:55:16		mRfhKaTQj
	2019-03-18 17:53:13		True	False	False	False	False	False	False	False		eng		0	0	0	Hoorah Henry	Hoorah Henries		2019-03-18 17:53:20		uu8tgcd2z
	2019-03-18 17:52:30		True	False	False	False	False	False	False	False		eng		8	4	8		Hoorah Henry		2019-03-18 17:52:44	Hooray Henry	JcairmHoU
25.0	2019-03-18 17:51:40		True	False	False	False	False	False	False	False		eng		12	2	12	Hooray Henry	Hooray Henries		2019-03-18 17:51:53		vpoUpAEkE
25.0	2019-03-18 17:50:54	A boorish upper class person	True	False	False	False	False	False	False	False		eng		105	7	105		Hooray Henry		2019-03-18 17:51:04		h9atuijoF
	2019-03-18 17:49:27		True	False	False	False	False	False	False	False		eng		0	0	0	toff	toffs		2019-03-18 17:49:27		vsbeKHBpu
	2019-03-18 17:49:00	A person of aristocratic background who exudes an air of superiority	True	False	False	False	False	False	False	False		eng		0	0	0		toff		2019-03-18 17:49:00		3pkdabuxq
75.0	2019-03-17 18:31:10		False	False	False	False	False	False	True	False		eng		0	0	0		gey		2019-03-17 18:31:10	gay	gQNjvph8r
	2019-03-17 17:55:53		False	False	True	True	True	False	False	False		eng		0	0	0	yellow cab	yellow cabs		2019-03-17 17:56:09		icNsmUpkU
	2019-03-17 17:54:26		False	False	True	True	True	False	False	False		eng		0	0	0		yellow cab	イエローキャブ	2019-03-17 17:54:26		odvntD3ea
	2019-03-17 17:47:43		False	False	False	False	False	False	True	False		eng		0	0	0	lipstick lesbian	lipstick lesbians		2019-03-17 17:47:43		fB3bwakms
	2019-03-17 17:46:58	A lesbian with visible femininity	False	False	False	False	False	False	True	False		eng		175	36	175		lipstick lesbian		2019-03-17 17:47:07		ssz8lLWtc
	2019-03-17 17:42:51		False	False	True	False	False	False	False	False		eng		1	0	1		zhidovka		2019-03-17 17:43:07	yid	3ykCosrin
	2019-03-17 17:42:01		False	False	True	False	False	False	False	False		eng		1	0	1		zhydovka		2019-03-17 17:42:10	yid	dyw7QsBzb
	2019-03-17 17:41:00		False	False	True	False	False	False	False	False		eng		12	2	12		zhid		2019-03-17 17:41:10	yid	LWXHVWFPD
	2019-03-17 17:38:58		False	False	True	False	False	False	False	False		eng		9	1	9		zhyd		2019-03-17 17:39:08	yid	KMQkBaafh
	2019-03-17 17:34:30	A masculine woman	False	False	False	True	False	False	False	False		eng		126	17	126		virago		2019-03-17 17:34:40		rfjgxDvyX
	2019-03-17 17:06:26	A woman who tempts men	False	False	False	True	False	False	False	False		eng		22	4	22		cock tease		2019-03-17 17:06:37		pYGwFMvRH
	2019-03-17 16:39:27		False	False	False	True	False	False	False	False		eng		0	0	0	Becky	Beckies		2019-03-17 16:39:27		eriebugnY
	2019-03-17 16:38:54		False	False	False	True	False	False	False	False		eng		0	0	0	Becky	Beckys		2019-03-17 16:38:54		axtiCRinu
	2019-03-17 16:38:12	A white woman	False	False	False	True	False	False	False	False		eng	A common woman's name	0	0	0		Becky		2019-03-17 16:38:12		PbuyeLsgd
	2019-03-17 15:04:26		False	False	False	False	False	False	True	False		eng		74	17	74	bull dyke	bull dykes		2019-03-17 15:04:34		ndGyZCRqn
	2019-03-17 15:03:31		False	False	False	False	False	False	True	False		eng		145	24	145		bull dyke		2019-03-17 15:03:43	dyke	E6LKcHRUw
	2019-03-17 15:00:51		False	False	False	False	False	False	True	False		eng		0	0	0		lavender mafia		2019-03-17 15:02:11	gay mafia	TM7JUnRiV
	2019-03-17 15:00:05		False	False	False	False	False	False	True	False		eng		31	9	31		velvet mafia		2019-03-17 15:00:14	gay mafia	soQexlvax
	2019-03-17 14:58:48	An alleged conspiracy of homosexuals to promote a gay agenda	False	False	False	False	False	False	True	False		eng		133	31	133		gay mafia		2019-03-17 14:58:57		EQJnNXBjY
	2019-03-17 14:57:23	An alleged conspiracy of homosexuals to promote a gay agenda	False	False	False	False	False	False	True	False		eng		9	1	9		Homintern		2019-03-17 14:57:59		istxJxyzY
	2019-03-17 14:52:26		False	False	False	False	False	False	True	False	BZ	eng		8	1	8	batiman	batimen		2019-03-17 14:52:37		ps1VLHGJU
	2019-03-17 14:51:43		False	False	False	False	False	False	True	False	BZ	eng		111	8	111		batiman		2019-03-17 14:51:55	batty boy	Zqpx34uuy
	2019-03-17 14:50:29		False	False	False	False	False	False	True	False	BZ	eng		74	23	74	battyman	battymen		2019-03-17 14:50:40		DmwDfmhEy
	2019-03-17 14:49:13		False	False	False	False	False	False	True	False	BZ	eng		147	24	147		battyman		2019-03-17 14:49:31	batty boy	RfgtBiyV7
	2019-03-17 14:47:16		False	False	False	False	False	False	True	False	JM	eng		0	0	0	chi chi bwoy	chi chi bwoys		2019-03-17 14:47:52		HjXaHzvKx
	2019-03-17 14:46:09		False	False	False	False	False	False	True	False	JM	eng		4	2	4		chi chi bwoy		2019-03-17 14:46:21	chi chi man	odcpPiArg
	2019-03-17 14:44:38		False	False	False	False	False	False	True	False		eng		1	0	1	chi chi man	chi chi men		2019-03-17 14:45:22		GUpfxMve8
	2019-03-17 14:43:13	Homosexual	False	False	False	False	False	False	True	False		eng		2	1	2		chi chi man		2019-03-17 14:43:24		ipabGpGnp
	2019-03-17 14:40:43		False	False	False	False	False	False	True	False	JM	eng		36	8	36	batty man	batty men		2019-03-17 14:40:54		nVHW1WCRC
	2019-03-17 14:39:50		False	False	False	False	False	False	True	False	JM	eng		99	12	99		batty man		2019-03-17 14:40:04	batty boy	aabpvxHAi
	2019-03-17 14:38:54		False	False	False	False	False	False	True	False	JM	eng		8	2	8	batty bwoy	batty bwoys		2019-03-17 14:39:05		ocPEJhfYN
	2019-03-17 14:38:04		False	False	False	False	False	False	True	False	JM	eng		102	11	102		batty bwoy		2019-03-17 14:38:16	batty boy	rfw4vpVsQ
	2019-03-17 14:37:11		False	False	False	False	False	False	True	False	JM	eng		158	25	158	batty boy	batty boys		2019-03-17 14:37:22		LidEmeroa
	2019-03-17 14:36:09	A gay or effeminate man	False	False	False	False	False	False	True	False	JM	eng	One who defies gender or machismo	249	33	249		batty boy		2019-03-17 14:36:24		NxEfddMfB
	2019-03-11 00:26:21		False	False	False	False	False	True	False	False		eng		0	0	0	papisher	papishers		2019-03-11 00:26:21		QsnaAMAfZ
	2019-03-11 00:25:20		False	False	False	False	False	True	False	False		eng		0	0	0		papisher		2019-03-11 00:25:41	papist	GmKWWPRUF
	2019-02-28 20:35:40		False	False	True	False	False	False	False	False		eng		23	0	23	gingette	gingettes		2019-03-01 21:06:14	ginger	UqkkPYoJi
	2019-02-28 20:35:06		False	False	True	False	False	False	False	False		eng		4	0	4		gingette		2019-03-01 21:06:02	ginger	ugngmeteR
	2019-02-28 20:20:57		False	False	True	False	False	False	False	False		eng		67	6	67	good goy	good goys		2019-03-01 21:05:48		uQcehfnto
75.0	2019-02-28 20:10:33		False	False	False	False	False	False	True	False		eng		351	39	351	ghey	gheys		2019-03-01 21:05:35	gay	KuEJLKbKi
	2019-02-28 20:06:40		False	False	False	False	False	False	True	False		eng		189	21	189	fruity	fruities		2019-03-01 21:05:21	fruit	bcQKDmfhP
	2019-02-28 20:01:46		False	False	False	False	True	False	False	False		eng		12	1	12	flipette	flipettes		2019-03-01 21:05:05	flip	bfbyyhnw2
	2019-02-28 20:00:55		False	False	False	False	True	False	False	False		eng		59	8	59		flipette		2019-03-01 21:04:54	flip	t8KvyckoK
	2019-02-28 19:59:03		False	False	False	False	False	False	True	False		eng		0	0	0	fagdick	fagdicks		2019-03-01 21:04:38	fag	JJoXagZze
	2019-02-28 19:58:28		False	False	False	False	False	False	True	False		eng		1	0	1		fagdick		2019-03-01 21:04:27	fag	BftZArVwg
	2019-02-28 19:57:45		False	False	False	False	False	False	True	False		eng		0	0	0	fagshit	fagshits		2019-03-01 21:04:16	fag	d7AETN2ea
100.0	2019-02-28 19:57:07		False	False	False	False	False	False	True	False		eng		6	3	6		fagshit		2019-03-01 21:04:03	fag	fBWtbPTRV
	2019-02-28 19:55:31		False	False	True	True	True	False	False	False		eng		0	0	0	dinklady	dinkladies		2019-03-01 21:03:51	dink	uqubfbadd
	2019-02-28 19:54:33		False	False	True	True	True	False	False	False		eng		0	0	0		dinklady		2019-03-01 21:03:39	dink	oKPAVejDv
	2019-02-28 19:52:52		False	False	True	False	False	True	False	True		eng		4	0	4	durka durka	durka durkas		2019-03-01 21:03:24	derka derka	XfyXhcwTY
	2019-02-28 19:52:03		False	False	True	False	False	True	False	True		eng		14	2	14		durka durka		2019-03-01 21:03:10	derka derka	AYsdMFEPc
	2019-02-28 19:51:03		False	False	True	False	False	True	False	True		eng		1	0	1	derka derka	derka derkas		2019-03-01 21:02:59		XTqrx9beD
	2019-02-28 19:49:10		False	False	True	True	False	False	False	False		eng		0	0	0	degette	degettes		2019-03-01 21:02:42	dago	YAvHYAFWX
	2019-02-28 19:48:08		False	False	True	True	False	False	False	False		eng		0	0	0		degette		2019-03-01 21:02:31	dago	seb9DZmwV
	2019-02-28 19:46:34		False	False	True	True	False	False	False	False		eng		0	0	0	dagette	dagettes		2019-03-01 21:02:18	dago	K9ZDERQ7W
	2019-02-28 19:45:32		False	False	True	False	False	False	False	False		eng		0	0	0		dagette		2019-03-01 21:02:04	dago	m8XvLiDiG
	2019-02-28 19:39:55		False	False	False	False	False	False	True	True		eng		0	0	0	closet dyke	closet dykes		2019-03-01 20:59:45	closet fag	rTiXRYQED
	2019-02-28 19:39:11		False	False	False	False	False	False	True	True		eng		4	1	4		closet dyke		2019-03-01 20:59:32	closet fag	uWzcbfz7a
	2019-02-28 19:18:54		False	False	True	False	True	False	False	True		eng		0	0	0	black dago	black dagoes		2019-03-01 20:58:24	black dagos	JUpgYbNiw
	2019-02-28 19:21:05		False	False	True	False	False	False	False	True		eng		1	0	1		border baby		2019-03-01 20:58:08	anchor baby	qc6VTyKxJ
	2019-02-28 19:22:05		False	False	True	False	False	False	False	True		eng		0	0	0	border baby	border babies		2019-03-01 20:57:55	anchor baby	ND9gokkqL
	2019-02-28 19:34:59		True	False	False	False	False	False	False	False	GB	eng		7	0	7	chavette	chavettes		2019-03-01 20:57:29		N7D7ZBmeB
	2019-02-28 19:34:25		True	False	False	False	False	False	False	False	GB	eng		38	13	38		chavette		2019-03-01 20:57:08	chav	f4wjiksdW
	2019-02-28 19:31:05		True	False	False	False	False	True	False	False		eng		1	0	1	carrot snap	carrot snaps		2019-03-01 20:56:30	carrot snapper	DbxPCDJoK
	2019-02-28 19:30:11		True	False	False	False	False	True	False	False		eng		2	0	2		carrot snap		2019-03-01 20:56:06	carrot snapper	YutMzKTwZ
	2019-02-28 19:24:36		False	False	True	False	False	False	False	False		eng		0	0	0	buckrette	buckrettes		2019-03-01 20:55:28		WZabEhgYL
	2019-02-28 19:23:38		False	False	True	False	False	False	False	False		eng		0	0	0		buckrette		2019-03-01 20:55:16	buckra	E4LfYgXeg
	2019-02-28 20:37:24		False	False	True	False	False	False	False	False		eng		0	0	0	gingie	gingies		2019-02-28 20:37:24	ginger	fBWtKgiEX
	2019-02-28 20:36:46		False	False	True	False	False	False	False	False		eng		0	0	0		gingie		2019-02-28 20:36:46	ginger	Q2tbsdhPz
	2019-02-28 20:36:12		False	False	True	False	False	False	False	False		eng		0	0	0		gingy		2019-02-28 20:36:12	ginger	fpg9WFZLN
	2019-02-28 20:08:21		False	False	False	True	False	False	False	False		eng		0	0	0		gasher		2019-02-28 20:08:21	gash	UwGWZrDVT
	2019-02-28 20:05:59		False	False	False	False	False	False	True	False		eng		0	0	0		fruity		2019-02-28 20:05:59	fruit	NjwZvryCG
75.0	2019-02-28 19:41:19		False	False	False	True	False	False	False	False		eng		0	0	0		cunter		2019-02-28 19:41:19	cunt	C7AcMFUyz
	2019-02-28 19:37:37		False	False	True	False	False	False	False	False		eng		0	0	0	chimp pack	chimp-outs		2019-02-28 19:37:37		kurvPtF7E
	2019-02-28 19:36:37		False	False	True	False	False	False	False	False		eng		0	0	0	chimp pack	chimp packs		2019-02-28 19:36:37		WRAqbbcK4
